番号,都道府県,市郡,区町村,男,女,,
01101,北海道,札幌市,中央区,81.6,87.5,,
01102,北海道,札幌市,北区,81.3,87.5,,
01103,北海道,札幌市,東区,81.0,87.2,,
01104,北海道,札幌市,白石区,80.4,87.1,,
01105,北海道,札幌市,豊平区,81.0,87.4,,
01106,北海道,札幌市,南区,81.6,87.5,,
01107,北海道,札幌市,西区,81.4,87.3,,
01108,北海道,札幌市,厚別区,81.8,87.5,,
01109,北海道,札幌市,手稲区,81.8,87.5,,
01110,北海道,札幌市,清田区,81.5,87.6,,
01202,北海道,函館市,  ,79.3,86.3,,
01203,北海道,小樽市,  ,80.5,86.5,,
01204,北海道,旭川市,  ,80.8,86.9,,
01205,北海道,室蘭市,  ,79.9,86.4,,
01206,北海道,釧路市,  ,80.0,86.2,,
01207,北海道,帯広市,  ,81.2,87.1,,
01208,北海道,北見市,  ,81.1,87.1,,
01209,北海道,夕張市,  ,80.4,86.7,,
01210,北海道,岩見沢市,  ,80.3,87.1,,
01211,北海道,網走市,  ,80.9,87.0,,
01212,北海道,留萌市,  ,80.9,86.7,,
01213,北海道,苫小牧市,  ,80.6,86.7,,
01214,北海道,稚内市,  ,80.3,86.5,,
01215,北海道,美唄市,  ,80.5,86.9,,
01216,北海道,芦別市,  ,80.5,86.6,,
01217,北海道,江別市,  ,82.1,88.2,,
01218,北海道,赤平市,  ,79.2,86.8,,
01219,北海道,紋別市,  ,80.5,86.8,,
01220,北海道,士別市,  ,82.0,88.1,,
01221,北海道,名寄市,  ,81.8,88.1,,
01222,北海道,三笠市,  ,80.1,86.7,,
01223,北海道,根室市,  ,80.0,86.4,,
01224,北海道,千歳市,  ,82.2,86.9,,
01225,北海道,滝川市,  ,80.3,87.1,,
01226,北海道,砂川市,  ,81.0,87.0,,
01227,北海道,歌志内市,  ,80.4,86.9,,
01228,北海道,深川市,  ,81.0,87.2,,
01229,北海道,富良野市,  ,81.6,87.5,,
01230,北海道,登別市,  ,81.0,87.1,,
01231,北海道,恵庭市,  ,81.7,87.7,,
01233,北海道,伊達市,  ,81.0,86.3,,
01234,北海道,北広島市,  ,81.8,88.2,,
01235,北海道,石狩市,  ,81.1,87.6,,
01236,北海道,北斗市,  ,80.4,86.4,,
01303,北海道,石狩郡,当別町,81.6,87.5,,
01304,北海道,石狩郡,新篠津村,80.5,86.4,,
01331,北海道,松前郡,松前町,79.9,86.4,,
01332,北海道,松前郡,福島町,80.1,86.9,,
01333,北海道,上磯郡,知内町,80.9,86.9,,
01334,北海道,上磯郡,木古内町,80.8,86.6,,
01337,北海道,亀田郡,七飯町,80.5,86.9,,
01343,北海道,茅部郡,鹿部町,80.1,86.9,,
01345,北海道,茅部郡,森町,80.3,85.9,,
01346,北海道,二海郡,八雲町,80.7,87.2,,
01347,北海道,山越郡,長万部町,80.9,87.1,,
01361,北海道,檜山郡,江差町,80.4,87.1,,
01362,北海道,檜山郡,上ノ国町,80.6,85.9,,
01363,北海道,檜山郡,厚沢部町,81.2,87.1,,
01364,北海道,爾志郡,乙部町,80.8,86.9,,
01367,北海道,奥尻郡,奥尻町,80.8,86.5,,
01370,北海道,瀬棚郡,今金町,81.0,87.3,,
01371,北海道,久遠郡,せたな町,81.1,87.4,,
01391,北海道,島牧郡,島牧村,80.7,87.1,,
01392,北海道,寿都郡,寿都町,81.0,86.9,,
01393,北海道,寿都郡,黒松内町,80.7,87.2,,
01394,北海道,磯谷郡,蘭越町,81.0,87.2,,
01395,北海道,虻田郡,ニセコ町,81.2,87.1,,
01396,北海道,虻田郡,真狩村,81.0,87.3,,
01397,北海道,虻田郡,留寿都村,81.4,87.2,,
01398,北海道,虻田郡,喜茂別町,80.7,87.0,,
01399,北海道,虻田郡,京極町,81.1,86.9,,
01400,北海道,虻田郡,倶知安町,81.5,87.5,,
01401,北海道,岩内郡,共和町,80.8,87.1,,
01402,北海道,岩内郡,岩内町,79.7,85.9,,
01403,北海道,古宇郡,泊村,80.6,86.9,,
01404,北海道,古宇郡,神恵内村,81.0,87.1,,
01405,北海道,積丹郡,積丹町,80.5,87.2,,
01406,北海道,古平郡,古平町,80.9,86.8,,
01407,北海道,余市郡,仁木町,80.7,87.1,,
01408,北海道,余市郡,余市町,81.2,87.2,,
01409,北海道,余市郡,赤井川村,80.8,87.0,,
01423,北海道,空知郡,南幌町,81.3,87.3,,
01424,北海道,空知郡,奈井江町,81.0,86.7,,
01425,北海道,空知郡,上砂川町,80.0,87.1,,
01427,北海道,夕張郡,由仁町,81.0,87.5,,
01428,北海道,夕張郡,長沼町,81.0,87.6,,
01429,北海道,夕張郡,栗山町,81.7,87.0,,
01430,北海道,樺戸郡,月形町,80.8,87.0,,
01431,北海道,樺戸郡,浦臼町,81.0,87.2,,
01432,北海道,樺戸郡,新十津川町,80.5,87.7,,
01433,北海道,雨竜郡,妹背牛町,80.7,87.0,,
01434,北海道,雨竜郡,秩父別町,80.8,87.5,,
01436,北海道,雨竜郡,雨竜町,80.9,87.1,,
01437,北海道,雨竜郡,北竜町,80.5,87.3,,
01438,北海道,雨竜郡,沼田町,81.3,87.1,,
01452,北海道,上川郡,鷹栖町,81.1,87.2,,
01453,北海道,上川郡,東神楽町,80.9,87.4,,
01454,北海道,上川郡,当麻町,81.5,87.4,,
01455,北海道,上川郡,比布町,80.7,87.2,,
01456,北海道,上川郡,愛別町,81.0,87.3,,
01457,北海道,上川郡,上川町,81.6,87.4,,
01458,北海道,上川郡,東川町,81.2,87.3,,
01459,北海道,上川郡,美瑛町,81.7,87.7,,
01460,北海道,空知郡,上富良野町,81.3,87.9,,
01461,北海道,空知郡,中富良野町,81.3,87.1,,
01462,北海道,空知郡,南富良野町,80.9,87.0,,
01463,北海道,勇払郡,占冠村,80.6,87.4,,
01464,北海道,上川郡,和寒町,81.0,87.2,,
01465,北海道,上川郡,剣淵町,81.2,87.5,,
01468,北海道,上川郡,下川町,81.0,87.1,,
01469,北海道,中川郡,美深町,81.3,87.5,,
01470,北海道,中川郡,音威子府村,81.1,87.2,,
01471,北海道,中川郡,中川町,81.0,87.0,,
01472,北海道,雨竜郡,幌加内町,80.8,87.3,,
01481,北海道,増毛郡,増毛町,80.7,87.1,,
01482,北海道,留萌郡,小平町,80.6,87.3,,
01483,北海道,苫前郡,苫前町,81.2,87.1,,
01484,北海道,苫前郡,羽幌町,81.4,87.3,,
01485,北海道,苫前郡,初山別村,81.1,87.3,,
01486,北海道,天塩郡,遠別町,80.8,86.9,,
01487,北海道,天塩郡,天塩町,81.0,87.4,,
01511,北海道,宗谷郡,猿払村,80.7,87.0,,
01512,北海道,枝幸郡,浜頓別町,80.8,87.3,,
01513,北海道,枝幸郡,中頓別町,81.0,87.2,,
01514,北海道,枝幸郡,枝幸町,80.6,86.1,,
01516,北海道,天塩郡,豊富町,81.1,87.2,,
01517,北海道,礼文郡,礼文町,81.2,86.7,,
01518,北海道,利尻郡,利尻町,81.2,87.0,,
01519,北海道,利尻郡,利尻富士町,81.2,86.7,,
01520,北海道,天塩郡,幌延町,80.9,86.9,,
01543,北海道,網走郡,美幌町,80.8,87.5,,
01544,北海道,網走郡,津別町,80.3,87.0,,
01545,北海道,斜里郡,斜里町,81.2,87.2,,
01546,北海道,斜里郡,清里町,80.5,87.5,,
01547,北海道,斜里郡,小清水町,80.3,86.9,,
01549,北海道,常呂郡,訓子府町,81.1,87.3,,
01550,北海道,常呂郡,置戸町,81.0,87.1,,
01552,北海道,常呂郡,佐呂間町,81.1,87.3,,
01555,北海道,紋別郡,遠軽町,81.4,87.6,,
01559,北海道,紋別郡,湧別町,80.8,87.0,,
01560,北海道,紋別郡,滝上町,81.0,86.9,,
01561,北海道,紋別郡,興部町,80.9,87.3,,
01562,北海道,紋別郡,西興部村,80.8,87.2,,
01563,北海道,紋別郡,雄武町,80.2,87.0,,
01564,北海道,網走郡,大空町,80.9,86.7,,
01571,北海道,虻田郡,豊浦町,81.0,87.2,,
01575,北海道,有珠郡,壮瞥町,81.0,87.5,,
01578,北海道,白老郡,白老町,80.4,86.9,,
01581,北海道,勇払郡,厚真町,80.9,87.2,,
01584,北海道,虻田郡,洞爺湖町,80.5,86.9,,
01585,北海道,勇払郡,安平町,80.7,87.3,,
01586,北海道,勇払郡,むかわ町,80.9,87.0,,
01601,北海道,沙流郡,日高町,80.9,86.9,,
01602,北海道,沙流郡,平取町,80.6,87.0,,
01604,北海道,新冠郡,新冠町,80.3,86.9,,
01607,北海道,浦河郡,浦河町,80.4,87.0,,
01608,北海道,様似郡,様似町,80.9,87.1,,
01609,北海道,幌泉郡,えりも町,80.6,86.5,,
01610,北海道,日高郡,新ひだか町,80.9,86.7,,
01631,北海道,河東郡,音更町,81.2,87.1,,
01632,北海道,河東郡,士幌町,81.3,86.8,,
01633,北海道,河東郡,上士幌町,81.1,86.9,,
01634,北海道,河東郡,鹿追町,81.8,87.5,,
01635,北海道,上川郡,新得町,80.5,87.1,,
01636,北海道,上川郡,清水町,81.5,87.6,,
01637,北海道,河西郡,芽室町,82.1,87.8,,
01638,北海道,河西郡,中札内村,81.1,87.5,,
01639,北海道,河西郡,更別村,81.4,87.4,,
01641,北海道,広尾郡,大樹町,81.3,87.3,,
01642,北海道,広尾郡,広尾町,80.6,87.1,,
01643,北海道,中川郡,幕別町,81.7,87.1,,
01644,北海道,中川郡,池田町,81.0,87.1,,
01645,北海道,中川郡,豊頃町,81.5,87.2,,
01646,北海道,中川郡,本別町,80.4,86.8,,
01647,北海道,足寄郡,足寄町,81.8,87.3,,
01648,北海道,足寄郡,陸別町,80.8,87.1,,
01649,北海道,十勝郡,浦幌町,81.3,86.7,,
01661,北海道,釧路郡,釧路町,81.1,87.5,,
01662,北海道,厚岸郡,厚岸町,81.0,87.2,,
01663,北海道,厚岸郡,浜中町,80.8,86.9,,
01664,北海道,川上郡,標茶町,80.9,87.3,,
01665,北海道,川上郡,弟子屈町,80.6,86.8,,
01667,北海道,阿寒郡,鶴居村,81.0,87.4,,
01668,北海道,白糠郡,白糠町,80.6,86.8,,
01691,北海道,野付郡,別海町,80.9,85.8,,
01692,北海道,標津郡,中標津町,81.2,86.9,,
01693,北海道,標津郡,標津町,80.5,87.0,,
01694,北海道,目梨郡,羅臼町,80.3,86.8,,
02201,青森県,青森市,  ,79.9,86.2,,
02202,青森県,弘前市,  ,79.2,86.4,,
02203,青森県,八戸市,  ,79.3,86.4,,
02204,青森県,黒石市,  ,79.3,86.0,,
02205,青森県,五所川原市,  ,79.5,86.3,,
02206,青森県,十和田市,  ,79.2,86.7,,
02207,青森県,三沢市,  ,79.8,87.1,,
02208,青森県,むつ市,  ,78.4,85.6,,
02209,青森県,つがる市,  ,79.6,87.1,,
02210,青森県,平川市,  ,79.8,86.0,,
02301,青森県,東津軽郡,平内町,78.6,86.2,,
02303,青森県,東津軽郡,今別町,79.1,85.5,,
02304,青森県,東津軽郡,蓬田村,79.4,86.2,,
02307,青森県,東津軽郡,外ヶ浜町,79.2,86.5,,
02321,青森県,西津軽郡,鰺ヶ沢町,78.8,86.4,,
02323,青森県,西津軽郡,深浦町,79.0,86.4,,
02343,青森県,中津軽郡,西目屋村,79.3,86.6,,
02361,青森県,南津軽郡,藤崎町,79.9,86.2,,
02362,青森県,南津軽郡,大鰐町,79.4,85.6,,
02367,青森県,南津軽郡,田舎館村,79.1,85.5,,
02381,青森県,北津軽郡,板柳町,79.3,86.9,,
02384,青森県,北津軽郡,鶴田町,78.9,86.5,,
02387,青森県,北津軽郡,中泊町,78.7,86.3,,
02401,青森県,上北郡,野辺地町,79.2,86.5,,
02402,青森県,上北郡,七戸町,79.4,85.9,,
02405,青森県,上北郡,六戸町,78.7,86.4,,
02406,青森県,上北郡,横浜町,79.3,86.4,,
02408,青森県,上北郡,東北町,78.7,86.3,,
02411,青森県,上北郡,六ヶ所村,78.3,85.9,,
02412,青森県,上北郡,おいらせ町,79.4,86.3,,
02423,青森県,下北郡,大間町,78.4,86.6,,
02424,青森県,下北郡,東通村,78.1,86.1,,
02425,青森県,下北郡,風間浦村,78.6,85.8,,
02426,青森県,下北郡,佐井村,79.0,86.1,,
02441,青森県,三戸郡,三戸町,78.5,86.7,,
02442,青森県,三戸郡,五戸町,79.1,86.9,,
02443,青森県,三戸郡,田子町,79.6,86.2,,
02445,青森県,三戸郡,南部町,78.9,86.2,,
02446,青森県,三戸郡,階上町,79.3,86.4,,
02450,青森県,三戸郡,新郷村,78.7,86.7,,
03201,岩手県,盛岡市,  ,81.3,87.4,,
03202,岩手県,宮古市,  ,79.9,86.3,,
03203,岩手県,大船渡市,  ,80.7,86.7,,
03205,岩手県,花巻市,  ,80.8,86.8,,
03206,岩手県,北上市,  ,81.0,86.8,,
03207,岩手県,久慈市,  ,79.7,86.8,,
03208,岩手県,遠野市,  ,80.5,86.9,,
03209,岩手県,一関市,  ,80.3,87.1,,
03210,岩手県,陸前高田市,  ,80.7,87.3,,
03211,岩手県,釜石市,  ,79.4,86.5,,
03213,岩手県,二戸市,  ,80.1,87.1,,
03214,岩手県,八幡平市,  ,80.3,87.5,,
03215,岩手県,奥州市,  ,81.3,87.5,,
03216,岩手県,滝沢市,  ,81.5,87.6,,
03301,岩手県,岩手郡,雫石町,80.9,87.0,,
03302,岩手県,岩手郡,葛巻町,80.3,86.9,,
03303,岩手県,岩手郡,岩手町,80.2,86.7,,
03321,岩手県,紫波郡,紫波町,81.2,86.9,,
03322,岩手県,紫波郡,矢巾町,81.1,87.6,,
03366,岩手県,和賀郡,西和賀町,80.9,87.3,,
03381,岩手県,胆沢郡,金ケ崎町,81.0,87.1,,
03402,岩手県,西磐井郡,平泉町,80.6,87.2,,
03441,岩手県,気仙郡,住田町,80.5,87.3,,
03461,岩手県,上閉伊郡,大槌町,79.3,86.4,,
03482,岩手県,下閉伊郡,山田町,80.2,87.0,,
03483,岩手県,下閉伊郡,岩泉町,79.9,86.9,,
03484,岩手県,下閉伊郡,田野畑村,80.5,86.7,,
03485,岩手県,下閉伊郡,普代村,80.4,87.1,,
03501,岩手県,九戸郡,軽米町,80.2,87.2,,
03503,岩手県,九戸郡,野田村,80.7,86.9,,
03506,岩手県,九戸郡,九戸村,80.3,87.4,,
03507,岩手県,九戸郡,洋野町,80.0,87.0,,
03524,岩手県,二戸郡,一戸町,80.3,86.6,,
04101,宮城県,仙台市,青葉区,82.3,88.0,,
04102,宮城県,仙台市,宮城野区,82.1,88.0,,
04103,宮城県,仙台市,若林区,82.2,88.0,,
04104,宮城県,仙台市,太白区,82.1,88.3,,
04105,宮城県,仙台市,泉区,83.2,88.4,,
04202,宮城県,石巻市,  ,80.8,86.9,,
04203,宮城県,塩竈市,  ,81.2,87.2,,
04205,宮城県,気仙沼市,  ,81.0,87.5,,
04206,宮城県,白石市,  ,81.3,87.5,,
04207,宮城県,名取市,  ,82.1,87.4,,
04208,宮城県,角田市,  ,81.6,87.0,,
04209,宮城県,多賀城市,  ,81.8,87.5,,
04211,宮城県,岩沼市,  ,81.8,87.4,,
04212,宮城県,登米市,  ,81.0,87.0,,
04213,宮城県,栗原市,  ,81.4,87.4,,
04214,宮城県,東松島市,  ,81.2,86.9,,
04215,宮城県,大崎市,  ,80.8,86.7,,
04216,宮城県,富谷市,  ,82.8,88.1,,
04301,宮城県,刈田郡,蔵王町,81.4,87.7,,
04302,宮城県,刈田郡,七ヶ宿町,81.6,87.2,,
04321,宮城県,柴田郡,大河原町,81.8,87.3,,
04322,宮城県,柴田郡,村田町,81.3,87.2,,
04323,宮城県,柴田郡,柴田町,81.2,87.2,,
04324,宮城県,柴田郡,川崎町,81.8,87.6,,
04341,宮城県,伊具郡,丸森町,81.4,87.4,,
04361,宮城県,亘理郡,亘理町,81.6,87.5,,
04362,宮城県,亘理郡,山元町,81.9,87.8,,
04401,宮城県,宮城郡,松島町,81.4,86.9,,
04404,宮城県,宮城郡,七ヶ浜町,81.3,86.4,,
